lyrics,artist,song_title,featuring
"[Chorus:]
Brothers better strap they thang-thang
Ladies, don't let them in if they don't have a condom
Brothers better strap they thang-thang
Ladies, don't let them in if they don't have a condom

[Verse 1:]
Some days I wake up grumpy
On other days, I let the brother sleep
But if there's no peace for the peace [?]
I say peace to the beast in heat
Let's talk about a Slim Jim jimmy chance in hell
If you can't protect a peck, your chances fail
That's just the pride I keep
He could great sideways, inside out
But still left on the side street
That's just a bare fact
My definition of bareback?
“Come at me bare? Don't come back”
Slap!
Try fittin' with a mitten
So you won't be trippin' and flippin'
And skinnydipping in the queen's kitten
So come and get candid
Kiss the candy
No claps
Can't stand me if I offend he
You can't be saved by the skin on your teeth
But the skin on your friend
Could be your end, to say the least
Peace
And I won't give a thang
Cause I'm down with the true crew
Down with the coochie bang

[Repeat Chorus]

[Verse 2:]
Slick, kick a groove
Don't show the trick in you
Fit the move smooth
Or forget it with the stick-and-move
And don't get tricky with the kissy poo
And don't say “don't be cruel” when I'm dissin' you
Kissin' you don't mean stickin' you
And If I was wishing to
Then you gotta know who I listen to
Like TLC
Me in heat
When lovin' me, couldn't care
If your hat was 2 da back, G
Don't turn the caution off
Turn it often
And don't say “always” then “often” and soften
Someday soon, you got to get to love what you got
Then you get love a lot
Get the point, yah?
You get faded like the face of any great sir
Slow down the fast pace, sir, until it's safer
And I won't give a thang
Because I'm down with the true crew
Down with the coochie bang

[Repeat Chorus]

[Verse 3:]
Some go from this one to that one
From wick-wick to wack one
You face one, you place one
The safe one's a strapped one
And I don't wanna buy my friends
Forget your promises and use your “condom” sense
Or I'm a glimpse
Then I'm gone
So long
The only thing that's on is your clothes
Now go home
And you can ho 'til the snow's gone
And I'll be here 'til the last hard head dead ho's gone
Either strap up or pack up is my motto
You say, “I wanna stay”
I say, “I know, yo, but bye. Go.”
Let's take it to the extent
If you love her, when you rub her
Brother, take her hint (word)
And I won't give a thang
Because I'm down with the true crew
Down with the coochie bang

[Repeat Chorus]",Queen Latifah,Coochie Bang...,
"Chorus
All rise for me (all rise for me all eyes on me, watch my progression court is in session)
Ain't nobody stops my flows as if you didn't know
All eyes on me (all rise for me all eyes on me, watch my progression court is in session)
I've been doing it for sometime, i'm back to blow ya mind!

Rap (verse 1)
Court is in session i'm the judge jury and the prosecution, my word cos mine conjugus
Ain't no need for confusion i'm here to stay me in the rap game party together like fusion
I wanna talk to Illuminati wanna let you ladies whose first hits screen gets me bar
I was dedicated to the party touring oversea spreading our culture to different nationality
From MC like calories what ya need to do is pay homage and make some sister challenge me
Like i said just me on wax i'll be of value and it'll happen when you least expected exactly
If it ain't rough, I can do without it and some of you all MCs in hiphop just making the game crowded
Let's play a little game of elimination or detonation, separate the rack like segregation
Chorus
All rise for me (all rise for me all eyes on me, watch my progression court is in session)
Ain't nobody stops my flows as if you didn't know
All eyes on me (all rise for me all eyes on me, watch my progression court is in session)
I've been doing it for sometime, i'm back to blow ya mind!

Rap (verse 2)
You know whats up choice stay on my piece you ain't no rapper you just play one on TV or radio and CD
Acting like you wanna see me but really cheeky geek i ain't see me
Check out my whole unit row this new kid study my scripts like the dead sea scroll
My M.O i'm in the back of a stretch land-cruise limo paying customer shot dollar dicussing
You see i am trying to hear nothing so i'm back to recap like Elmino, winds blow, clouds thunder spins the earth off its axis
Me slash rapper, slash actress, slash if you trying to front we get your ass kicked, we used P.O.W torture tactics
Who trying to get at us, cos my friends i feel pleasure in your pain like i should never
I should bronx my pimp we should be hanging platinum, pix i'm stackin' em
Classics from me is automatic, i keep' em hitting in the attic
Ladies rock to this, fellas on the floor grab your crotch to this, watch my progression court is in session
Chorus

Rap (verse 3)
Flog your interest, pay attention to every sentence, all rise for me, all eyes on me
Send a shout-out of respect to all my people living, check the check it's gonna be alright
I rule in favor of the unit with a flavour, we make moves this major, this style coming like a pager
And we don't need that feedback, keep that, i know your crew is off the hook, we off the meat-rat
See that i know you wanna be like us real, already we that you can't be that, believe that
Make you jump outta your gatters and boots, sweats and limo suits, we winning my records on the table spinning
All our pockets getting fat while you thinning, you can't fade us we've been hustling since beginning
Put you hands in the air even if you hate us, we master of profession, court is in session
Chorus till fade",Queen Latifah,Court Is in Session,
"You know it's over but you don't wanna say
You see the writin' on the wall but you don't wanna read
And now you're hopin' that there'll be somethin' different
Somethin' to change the circumstances of the way you're livin'

But that's that fantasy, that's that reality
The one you love that keeps on changin' personalities
It's always jealousy, too much intensity
I don't remember signin' over my I, identity

'Cause I gave it to you freely, didn't know you was so needy
Baby, you got my heart in chains
Somethin' beautiful and bright, it's losin' all it's light
On this site, somebody cue the rain

Cue the rain, cue the rain
Why you drivin' me so insane? Cue the rain
Didn't know you'd be so greedy
Baby, you got my heart in chains

Now you met me on the fly, I was flyin' so high
You said I can fly too, that's the start of me and you
Chemistry, what a blast, had us movin' so fast
Ooh baby, what a ride when your love is the map
Let's go

Love the way I move in, the crowd still a jewel
I rule it all with these 'cause I got that joie de vive
But like Tinker bell in the story of Pan
I got caught up and Captain Hook is my man
But I want free love

'Cause I gave it to you freely, didn't know you was so needy
Baby, you got my heart in chains
Somethin' beautiful and bright, it's losin' all it's light
On this site, somebody cue the rain

Cue the rain, cue the rain
Why you drivin' me so insane? Cue the rain
Didn't know you'd be so greedy
Baby, you got my heart in chains

If you don't love me now, you will never love me again
I can still hear you say you will never, never break
Never break the chains

'Cause I gave it to you freely, didn't know you was so needy
Baby, you got my heart in chains
Somethin' beautiful and bright, it's losin' all it's light
On this site, somebody cue the rain

Cue the rain, cue the rain
Why you drivin' me so insane? Cue the rain
Didn't know you'd be so greedy
Baby, you got my heart in chains

When it comes close your eyes, I'm takin' over your body
Close your eyes, close your eyes
When it comes I know 'cause I, I release myself
[Incomprehensible] inside, close your eyes

'Cause I gave it to you freely, didn't know you was so needy
Baby, you got my heart in chains
Somethin' beautiful and bright, it's losin' all it's light
On this site, somebody cue the rain

Cue the rain, cue the rain
Why you drivin' me so insane? Cue the rain
Didn't know you'd be so greedy
Baby, you got my heart in chains",Queen Latifah,Cue The Rain,
"It's a fact I'll attest to, mess around and I'll arrest you
I ain't playing, you know what I'm saying?
This ain't the best you've ever hear coming from a female MC
But you know what I mean? (Hail to the Queen!)
This MC stands for ""Microphone Commando""
When I command that you take a hand
And throw it up in the air, yeah, just like that now
Chill, and watch me rap cause I'm flowing (Flowing)
Just like water I slaughter (Slaughter)
A battle, put me in it, I win it
The mission is music and rhythm
Rhythm backed by words, all in my system
System by techniques, techniques I got my heart in
Heart into the music, music I take part in
One try, one God, and one destiny
Just dance for me

""Dance to the music""  (Repeat 2x)

Now understand that you must (dance) because this is a beat to clap to
My brother Lance said ""Latifah you got to make them get up off their feet""
So I put my rhyme to a DJ Mark beat
Ample samples, this for example
Are made by the 45 King, so cancel
Your plans of moving to the front lines
He's a DJ, producer, and mind you a friend of mine
I hop, dip, and spend with the children
So get down with the sound and you will lend
To let me sing while I bring
Queen Latifah to the 45 King, creating
A new style in the name of the Flavor Unit
That's the way we like it, so I'm doing it
So if you want to know what the plan is to be
I order you to dance for me

""Dance to the music""  (Repeat 2x)

My voice is your choice at a stage show
I do it for the Flavor Unit to make you say ""ho""
With powerful lyrics I'm armed
To let a sucker step up and get bombed
By a beat created by my producer
To break you out of the stuff that you're used to
This here is a moment of truth
So take the record to the DJ booth
And let's start this, let the beat get dumb
Cause I'm a shake it all night and then some
People dancing, I can spot 'em
When I take control, you know I got 'em
Stop the music?  That's not a question
The Flavor Unit takes no suggestions
If you're not on the dance tip, here's your chance to be
I order you to dance for me

""Dance to the music""  (Repeat 6x)",Queen Latifah,Dance for Me,
"[Queen Latifah:]
Southside, Northside
Eastside, Westside
Alright, alright
Alright, we ride

[Verse 1: Queen Latifah]
Ain't the paper, that makes me Dana
I just see the strangers they look at me stranger
They all give me more lip
So I give ya more music, more scripts, Less actin'
I stepped up to salary cappin'
Passin' traffic and lookin' what happened
See how life takes a turn (uh huh)
More paper earned
Lawyers poof, case adjourned good-bye
I am what I am, I come from Newark
So crème de la crème
Specially when, y'all pray for my downfall
That's why I try to stay from round y'all (let's go)
Turn my days in the dark, they find less (let's go)
Like metter maids when I park but I'll be
Still, doin' me, still, so beautifully
I pray to brushin' off haters for stuff they do to me

[Chorus: Mario Winans]
Go and do your thing
Cuz' people will talk
Baby it's the way
The way that you walk
Keep your head up to the sky
Comfort is high
Love the ones that hate you
Cuz' they're the ones who make you
Go and do your thing

[Verse 2: Queen Latifah]
Yo, yo, yo
Now just imagine how the world'll be witchu cruisin'
Top down, popped the blouse, get girls aroused
Talk bout shoppin' and browsin'
Not for clothes and copped the house
Could it be that you feel you need me?
Hey, you love the way I flow cuz' it comes to easy
When life imitate art that's where the hatin' start
You gotta love dat, try to stay above that
Who knew I'd come this far
Business woman, and movie star?
My moms always told me I come from God
And the stress that come from y'all keep achin'
You'll get there, keep waitin'
Keep trying, be patient
Y'all wish I can stand united
And really feel the love cause my fans provide it

[Chorus: Mario Winans]
Go and do your thing
Cuz' people will talk
Baby it's the way
The way that you walk
Keep your head up to the sky
Comfort is high
Love the ones that hate you
Cuz' they're the ones who make you
Go and do your thing

[Verse 3:]
Lately, it just seems to me
That people ain't what they seem to be
They all want me torn up
I know there's snakes in the grass
So I pay my staff, to keep the lawns cut
I see all the drama you bringin'
I combat that with positive thinking
I'm me till I'm old and grey
And when that day comes
Imma teach my daughters to be the same way
I am the way I am, I'm from the hood
So crème de le crème
And specially when, y'all pray for my downfall
That's why I try to stay from round y'all (that's why)
You never keep me down
So I'll always be around (forget about it)
Still doin' it, (still doin me)
So beautifully I see you rushin' them papers that ain't new to me

[Chorus x2: Mario Winans]
Go and do your thing
Cuz' people will talk
Baby it's the way
The way that you walk
Keep your head up to the sky
Comfort is high
Love the ones that hate you
Cuz' they're the ones who make you
Go and do your thing

[Ending: Mario Winans]
Just do your thing
Cuz people gon' hate you anyway uh
Just do your thing
Cuz people gonna hate you anyway uh
Just do your thing y'all c'mon
Can nobody stop me y'all c'mon
We Yellow City y'all
We gon' keep doin' our thing, keep doin' our thing",Queen Latifah,Do Your Thing,Mario Winans
"[Verse 1]
Booty rappers posing as gunclappers,get bitch smacked!
Need to switch to being actors, image is all ya after
Hold the laughter,in the lip, the glamour and the glitz!
Flip a flow like the mob be turnin' tricks!
My clique and I will hunt ya like (?), who want the beef come spark!
I leave darkness where there used to be your front teeth
I'm heartless when it comes to havin' the back of my partners, yeah we artists but testin' us ain't the smartest!
You can huff, puff, but blow me down I doubt it kid, or
Get yo' ass Whooped behind what ya mouth did
You need more ""Hail Mary's"" than a catholic!
Yo ass ain't slick I'll mess your shit quick
I got connects, I get that ass stuck like glue, stand to the F you I had to make it so your parents forget you
Cause if I let You get Over and then I pass you, think you can do it on a reg so Ima wreck you!

[Hook]
Elements that I'm among, these none. Fools be gettin' done, but over
Dumb
Reasons. Yall didn't Know. Elements that I'm among, these none. Betta
Check it out
Before you become one. Elements that I'm among, these none. Fools be
Gettin'
Done, but over dumb reasons. Yall didn't Know. Elements that I'm among
These
None. Betta check it out before you become one

[Verse 2]
Now you said no tricks in '86 it's time to build, now we gone be pushin'
'96 and
Niggas still gotta kill. Tryin to keep it real... but is it really real?
If you could fly
Is it? Get between my legs, you fuckin kid you'd be the man but hold ya
Head
Because if a fifth was a fifth we all be drunk... nigga dont, put no
Yayo in my
Blunt. I just, wanna bring the funk like a puma.. yo wannabe niggas is
Fired or be
The ill reputed. You throw shade, I throw it too, more than you can
Chew... I get
Back at you, lyrically hack at you. I keep the facts here, I keep it
Real hell yeah, I
Keep the facts there, dont make me hate you like a papsmear, thats
Where, I get
Ticked, matter fact in the '96 I'm also pistol grip pump on my lap at
All times shit
Niggas be on some black on black crime shit. And I can't let it slide
Cause I'm
Terrified that I might be the next homocide, the pound is on my side

[Hook]


[Hook 3]
Niggas be all in my face like government be in my check, every time I
Pick up the
Mic and begin to wreck. But right now my job is more important than a
Nigga
I'm in to peace, its so tricky this ain't the way I figured. An evident
I wasn't
Raised that way, we kicks a grip to stay that way, and I'm tryin' to
Stay ""forever
Free,"" like AZ... baskin' in the riches of this hip hop M U S I C
Cause when the
East is in the house, ""Oh My God!"" Is right. I know girls that's givin'
Niggas fair
Fights, so you damn right. Ima stick up for mine, like a queen at a bee
And Ima
Get my own rythm wihtout a ""G"". Hey, if ya kiddie come come, well ya
Need to
Run run, like a bee yall get stomped, by my diggy dumps dumps, all
Because of ya
Tounge. And I'll be lampin' in the sun when the day is done

[Hook]",Queen Latifah,Elements I’m Among,
"[Queen Latifah]
You asked, I came, so behold the Queen
Let's add a little sense to the scene
I'm living positive, not out here knocked up
But the lines are so dangerous, I ought to be locked up
This rhyme doesn't require prime time
I'm just sharing thoughts of mine
Back again cause I knew you wanted it
From the Latifah with the Queen in front of it
Dropping bombs, you're up in arms, you're puzzled
The lines will flow like fluid while you're guzzling
The sip I drop you on a BDP-produced track
From KRS to be exact
It's a Flavor Unit quest that today has me speaking
Cause it's knowledge I'm seeking
Enough about myself, I think it's time that I tell you
About the evil that men do

Situations, reality, what a concept!
Nothing ever seems to stay in step
So today, here is a message to my sisters and brothers
Here are some things I want to cover
A woman strives for a better life, but who the hell cares?
Because she's living on welfare
I government can't come up with a decent housing plan
So she's in no man's land
It's a sucker who tells you you're equal

[KRS-One]
You don't need him, Johannasburg's crying for freedom!

[Queen Latifah]
We the people hold these truths to be self-evident

[KRS-One]
But there's no response from the president

[Queen Latifah]
Someone's living the good life, tax-free
Except for a girl, can't find a way to be crack free
And that's just part of the message
I thought I had to send you about the evil that men do

Tell me, don't you think it's a shame?
When someone can put a quarter in a video game
But when a homeless person approaches you on the street
You can't treat him the same
It's time to teach the def, the dumb, the blind
That black-on-black crime only shackles and binds
You to a doom, a fate worse than death
But there's still time left
Stop putting your conscience on cease
And bring about some type of peace
Not only in your heart, but also in your mind
It will benefit all mandkind
Then there will be one thing that will never stop
And it's the evil that men do",Queen Latifah,Evil That Men Do,KRS-One
"Know, know what I mean?

Fast car, fast car
I wanna meet your fast car
Take me on a comet ride
Shoot me past the fast car
I wish I owned that last car
You could be the end to
Everything my heart's asking for

Take me away
(So, so, far away)
I don't wanna feel no sorrow
Take me away
(So, so, far away)
I might not see tomorrow

Hey, hey

You tell me you can cure my addiction
(Addiction)
And you tear my feet off the ground
Everytime I would forget my affliction
(Affliction)
But I don't want to come down

It's just the high that your givin' me
(Givin' me)
Is worth a million tears and frowns
It's just the high that your givin' me
(Givin' me)
Is worth a million years on the ground

Take me up in your rocket ship
Take me so, so far away
(Away)
Let me forget all the good shit
Take me so, so far away
(Away)

I need a face that's not mine that fits me
Just get me to forget misery
Yes indeed, we just be
In misery, yes indeed
We just be up high
When I'm with you
When I'm with you

You tell me you can cure my addiction
(Addiction)
And you tear my feet off the ground
Everytime I would forget my affliction
(Affliction)
But I don't want to come down

It's just the high that your givin' me
(Givin' me)
Is worth a million tears and frowns
It's just the high that your givin' me
(Givin' me)
Is worth a million years on the ground

You remind me of my Mercedez Benz
For you I spend all my years
You might wanna meet my friends
And I might wanna have your kids
I name 'em Shaniqua , Bonita, Rashawn

And baby, you can take me far away
See the moon and the stars
Now can't nobody do it like you do
(What?)
I admit you got to go
(What?)

Me and you, just us two
Spread my love like a swine flu
Ay, you got me high
Wanna touch the sky
You know you love me right?
Let's sing this lullaby

Yeah, you could be my fast car
Maybe be my Jaguar
Baby, what you isn't are
Make me see the moon and stars
I wanna touch the moon

Get some of this poom, poom
Ride it like zoom, zoom
Make him drop this fruit of the loom
He want my peach fair Victoria underwear
I love 'em, oh so swell
And yep, he love my fruit cocktail

I keep it real, baby
I love 'em crazy, baby
I'm a name brand bitch
She just don't need it, baby
You better stay with me
Sexy is what I need
I'm a F-A-S-T C-A-R M- ISS -E

You tell me you can cure my addiction
(Addiction)
And you tear my feet off the ground
Everytime I would forget my affliction
(Affliction)
But I don't want to come down

It's just the high that your givin' me
(Givin' me)
Is worth a million tears and frowns
It's just the high that your givin' me
(Givin' me)
Is worth a million years on the ground

High that you're givin' me
High that you're givin' me
High that you're givin' me
High that you're givin' me
High that you're givin' me",Queen Latifah,Fast Car,Missy Elliott
"Well, it's almost nightfall
And there's no forecast of rainfall
And I'm in the mood for a party
So I'm gonna go out to a club
And give the dancefloor body
So I jump in the car and go to the venue
Walk in the door and now I'm on the menu
Guys in the house, they're wacthing me
They're clocking me, there's no stopping me

[Refrain:]
(desire) I know you want me
(you're fine) thank you
But I'm not the type of girl that you think I am
I don't jump into the arms of every man
(but I'm paid) I don't need your money
(I love you) you must be mad
Easy lover is something that I ain't
Besides, I don't know you from a can of paint

Tell me why is it when I walk past the guys
I always hear, yo, baby?
I mean like what's the big idea?
I'm a queen, nuff respect
Treat me like a lady
And, no, my name ain't yo and I ain't got your baby
I'm looking for a guy who's sincere
One with class and savoir faire
I'm looking for someone who has to be
Perfect for the queen latifah me

(fly girl, fly girl)
(come here, cuz you're sexy and you're fine)
(and I want you to be mine)
(fly girl, fly girl)
(have no fear, your heart is in good hands)
(won't you let me be your man? )

All my friends are in relationships
Some of then good ones and some of them bad ones
Some of the bad ones took a turn for the better
And some of the good ones ended up sad ones
You see? loving, it ain't hard to get
I want a friend not just a lover
Someone who is dedicated only to me
Not to me and two or three others
One who will not lie to me or think
He can get my love by buying me
I know I'll find him some day
And when I find him
He sure won't say

[Refrain]

(fly girl, fly girl
(come here, cuz you're sexy and you're fine)
(and I want you to be mine)
(fly girl, fly girl, have no fear)
(have no fear, your heart is in good hands)
(won't you let me be your man? )

Lounging, sitting in the house
And I'm cooling, first day of the week
So there's nothing to do
And I'm in the mood for a real soft kiss
Momma never said there'll be days like this
So I called her and we talked for a while
Hang up the phone feeling better
With a smile

It's cool, cuz 91 is my year
And this time I know I'm gonna hear

(fly girl, fly girl, come here)
(come here, cuz you're sexy and you're fine)
(and I want you to be mine)
(fly girl, fly girl)
(have no fear, your heart is in good hands)
(won't you let me be your man? )

[Refrain]

Fly girl [15x]",Queen Latifah,Fly Girl,
"Go head
Go head
Go head
Go Latifah

Go head
Go head
Go head
Go Latifah

Go head wit that bullshit
Pop a can of fake shit
Never should've pulled it
Now you wanna stay quick
Shake it, break it
Never catch me naked
If them checks is basic
Slide with them paces
Big jeans, big keans
I only ride them big things
Pay me for my sixteens
Switch in my fitted jeans
Twistin' up that icky green
Book full of city dreams
Now everybody half way there swing
Let's swing baby
Let's swing baby
Let's swing baby

Go head wit that nonsense
Address me as your highness
I'm New Jersey's finest
Back from Bahamas
Aware of my content
Sista got sponsors
Dana got a conscience
Let me hit responses

Go head
Go head
Go head
Go Latifah

Go head
Go head
Go head
Go Latifah

I see poppin' on me
Don't get sloppy on me
He be lookin' at me
She be hatin' on me
Well um basically
We just keepin' the peace
We just rulin' the night
With the family

Now you want some new shit
I keep it movin' who wit
My flavor unit
Bumpin' on exclusive

Jumpin' down in Houston
Peace to Whitney Houston
Tyin' up some nuisance
Ridin' wit a few friends
The science of the crew is
Neva give 'em units
We win the humor
Late let her move it
Everybody ruthless
Watch me make deuces
Thinkin' he the new shit
Time to gin and juice this
Story unconclusive
Now introducin'
Jumpin' jumpin' movin'
Somethin' bumpin' who wit
LA's Jersey unit
Lot of cats included
Single droppin' June-ish
LA.....

Go head
Go head
Go head
Go Latifah

Go head
Go head
Go head
Go Latifah

Let's swing baby
Let's swing baby
Let's swing baby
Let's swing baby

Lady bubble bubble for my thug
Startin' that trouble
Little homies born in the struggle
I show you I love you
Get in a huddle
Peace to mommies workin' a double
Dana'll hug you
Piss me off I'll get em to mug you
I'm the same princess of the posse
Sippin confossey
If you can't sang
You can't copy what's gone stop me
In a black beat swizzey
And I'm pumpin' my posse
And plus I'm stocky
I dare on of y'all broads to try and stop me
La stays layin' the fire
Displayin' the wire
And I'm paid now
So twenty years just stainin' the tires
President buyer
Peasants can't grow with the sire
And whoever told you LA wouldn't drop is a liar

Go head
Go head......",Queen Latifah,Go Head,
"1, 2, 3, Huh!

Boom laka laka laka boom laka laka boom de boom
Hey! Hey! Hey! Hey! Hey!

Feelings getting stronger
Caleb: Music's gettin longer too!
Olivia: Music is the flesh in me!
He wants to, he wants to, he wants to take you

Higher
Yeah yeah, He'll, He'll take you
Higher
Ooh, if you let Him
He will light your fire
Your fire, yeah, He'll take you
Higher!
He'll take you higher

Boom laka laka laka boom laka laka boom de boom!
Hey! Hey! Hey! Hey! Hey!

Yeah yeah yeah! Yeah! Yeah!

Up in the church with my homies
Tryin' to get a little praise on
But keep it down on the low key (low key)
Cause you know how it is
I saw shawty, she was checkin' up on me
From the game she was singin' in my ear
You would think that she knew me (knew me)
So we decided to chill!

The worship got heavy (heavy)
Had me feeling like I'm ready to blow (blow)
Oh (oh)
God's saying ""Come get me!"" (Come get me)
So I got down and brought my knees to the floor
My knees to the floor
That's when I told God I said

Yeah yeah!
So I got down low said ""God come get me!""
Yeah yeah
I got so caught up because God told me
Yeah yeah
Now my God and I are the best of homies
Yeah yeah
Next thing I knew I was all up on it screaming

Yeah yeah
Yes, I love you
Yeah yeah
Yes, I do
Cast: Yeah yeah
Won't you let me
Yeah Yeah
Take you

Higher
Higher, He'll take you
Higher
Higher, if you let Him
He will light your fire
He will start your fire
Higher
Higher
Higher
Higher

It's like I've waited my whole life, for this one night
It's gonna be me, you, and the good Lord
Cause we've only got one night, sing for His pleasure
Sing for His Son and praise

Forever (Ever ever)
Forever (Ever ever)
Forever (Ever ever)
Forever with the good Lord!

Forever (Ever ever)
Forever (Ever ever)
Forever (Ever ever)
Forever with the good Lord!

I'm a beautiful lady
No ifs, ands, or maybes
I'm releasing my heart
And I'm feeling amazing!
There's no one else that matters, no no no
He loves you (He loves me)
And He won't (And He won't)
Let you fall!

He will take you

Higher
Oh yeah, He wants to take you
Higher
Higher, He will
He will light your fire
Light your fire, don't you wanna go
Higher
Higher
Higher
Higher

Uh huh, yeah

Like a fool I went astray, oh Lord
Now I'm wonderin, if Your love's still strong (Ooh Lord)
Oh Lord, here I am
Signed, sealed, delivered, I'm Yours

Then that time I went and said goodbye!
Now I'm back and not ashamed to cry! (Ooh Lord)
Oh Lord, here I am
Signed, sealed, delivered, I'm Yours
I'm Yours

Here I am Lord
Oh I'm here right now
Signed, sealed, delivered, I'm Yours
You got the future in your hands
Yeah
Yeah yeah yeah
Here I am Lord
Here I am Lord
Signed, sealed, delivered, I'm Yours

He wants to take you higher
Signed, sealed, delivered!
I'm feelin
Higher!
Take me!
I'm Yours

Higher!
He'll take you
Signed, sealed, delivered
Higher, high now
Higher
I'm Yours

Higher
Higher
Signed, sealed, delivered
Higher yeah
Higher
Oh yeah
Higher
Yeah

Higher
Signed, sealed, delivered, come on
Signed, sealed, delivered
I'm yours
Oh yeah
Higher
Higher
Higher
Higher

Higher
Higher
Signed, sealed, delivered
Signed, sealed, delivered
Yeah
Higher
Oh yeah
Higher
Higher
Boom laka laka laka boom boom boom

Higher
Higher
Higher",Queen Latifah,Higher Medley,"Dequina Moore, Angela Grovey, Dolly Parton, Don Henson, Andy Karl, Keke Palmer"
"[Chorus]
How do I love thee
Let me count the ways
How much do I love you
Well, multiply your love by infinity

Picture a vision of beauty
As we dance by the light of the moon
Your passion so often consumes me
Like the lick of a native tongue tune
Reality is ours to create
Fantasy is ours to mold
Dream my love dream
With my body and my soul
Question out my faith
I'm pledged to be your lover
And after I started loving you
I knew I'd never love another
I'm like a child within your arms
Would you come inside and play with me
Spend the day with me
Have your way with me

[Chorus]

Remember this always
My sweet one
No lie is true
And dude it's not a lie
When I say that
I would die for you
You're so deep within thee
That sometimes your just a touch away
But I can't reach you
I seek you
Come to me
But then you""re all around me
You just surround me
And you astound me
And I recieve you
'fore I complete you
It pleases me
To have you touch me there
I think you know it gets to me
Stop
Don't stop
Ecstacy

[Chorus]

So sweet
I adore you
Come to me
That's right
Come to me

How do I love thee
Let me count the ways
How do I love thee
Let me count the ways

Reality is ours to create
Fantasy is ours to mold
Dream my love dream
With my body and my soul
Question out my faith
I'm pledged to be your lover
And after I started loving you
I knew I'd never love another
I'm like a child within your arms
Would you come inside and play with me
Spend the day with me
Have your way with me

Please don't go
Happiness is nothing without you
Stay
My sweet one
I adore you
Hold me
Come to me
Love me
Love me",Queen Latifah,How Do I Love Thee,
"Betcha got a chick on the side, sure you got a chick
I know you got a chick on the side
I know you got a chick on the side
I know you got a chick on the side
I know you got a chick on the side

I know you want us both and I know the reason why
I can give you so much lovin
But presents, she can buy you
Last night youre in my arms
Tonight Im all alone

[Chorus:]
How long will this game go on? How long?
Oh, oh how long?

Betcha got a chick on the side, sure you got a chick
I know you got a chick on the side

And its plain, plain enough to see that
Youre not the man for me
I can't keep playin games that keep my heart in pain
I want to turn and walk away but its harder to do
Than it is to say

[Chorus]
It might hurt me for awhile but of one thing I am sure
Ill get over you, yes Ill find someone new
Each time I open up my heart
It seems to just get torn apart

[Adlib line 1:]
I saw you, dont you try to hide
Dont hide it from me, no, no. no

[Adlib line 2:]
You thought you would hide it, hide it
Hide it from me
[Repeat...]

Yeah, check you out
I bet you thought I didn't know a daggone thing
I bet you thought you had me fooled, didn't you?
I know you got a chick on the side
My sisters saw you with her
So did my cousin
She sent a picture to my cellphone
I saw the video on YouTube
My other sister saw you too!
My niece even saw you with her!",Queen Latifah,How Long (Betcha’ Got a Chick on the Side),
"[Chorus:]
I can't understand, I can't understand
I can't understand, I can't understand
(It's got me goin' crazy, things are goin' crazy)

[Verse 1: Queen Latifah]
Forgive me father for I have sinned
I just destroyed another phony ass rapper again
She wasn't causin' it
She must be stupid as a fiend
I should have told the child 'You don't step to the Queen!'
Perplexed and I'm vexed cause' everywhere I go
People be flexin' expectin' me to wanna flow
I don't play that, the only way that
I would be playing is if I pay back
And run the playback so whatcha sayin'?
You don't wanna be a sista' in the name of rap
And yet you wanna talk shit and your style is wack
I would have squashed it before and made the whole issue dead
But now I'm fed, so it's off with your head
Now
The moral of the verse is your career is through
And don't be fuckin' with nobody who ain't fuckin' with you
If I was in yo shoes I'd let the BS start walkin'
Next time there might not be no talkin'

[Chorus]

[Verse 2: Queen Latifah]
A brotha pushed up on me at the movies one weekend
He was on a quest and I was who he was seekin'
And although I am Black and he was a Puerto Rican
Ain't make no diff to me, so we continued to speak and
We hit it right off and everything was on a roll
Before I knew it, I fell in love with his soul
""Aye papi! Aye!"" Was the cry as he made love to me
I was freaked by the way he used to do me
And then one day when I was washin' our clothes
A number fell outta his pocket and her name was Rose
A girl's number? Hmmm. That struck me kinda funny
I lost my grip, I had to call up the honey
""There was a chick on the side!"" Oh no it couldn't be!
""There was a chick on the side!"" He's down with OPP?
I gave you the whole shabang
Just to find another woman hittin' my thang

[Chorus]

[Verse 3: Queen Latifah]
Why the negative vibes? And why do people take bribes?
I don't understand it, yo (I don't know)
Why do bad people live? And why do good people die?
Somebody gotta tell me why  (I don't know)
Why do people smoke crack? And why do White fight Black?
What's that scenario?  (I don't know)
Why do hearts get broken? Why the chumps get choked?
They know I ain't no joke  (I don't know)
Now, with the drums to the bass to the piano to the horn
It's a crazy ass life and that's my word, it's bond
I'm tryin' to be as logical as I possibly can
But for the life of me, you know I just can't understand
What's goin' on sometimes
So situations like this come out in my rhymes
But Queen Latifah ain't gone just yet
Cause' when it comes to masterin' confusion I'm a VET

[Chorus]",Queen Latifah,I Can’t Understand,
